Entity,Code,Year,Coal Production - TWh,Oil Production - TWh,Gas Production - TWh
OECD,,2003,11811.042002777778,11860.74099102,10712.542883333334
OECD,,2004,12092.419702777775,11641.65584186,10729.038533333332
OECD,,2005,12306.303658333332,11101.262482747,10628.215386111113
OECD,,2006,12550.539880555556,10836.833815083,10748.10197222222
OECD,,2007,12540.023852777776,10670.989304490002,10786.079675
OECD,,2008,12661.706380555555,10343.909281379,11102.2065
OECD,,2009,11980.930477777778,10363.195046378,11048.340972222222
OECD,,2010,12219.092163888889,10454.480222427,11308.904755555555
OECD,,2011,12329.19313888889,10538.40696722,11510.02398611111
OECD,,2012,12140.052927777777,11093.35383968,11870.251047222222
OECD,,2013,12063.312466666666,11727.093055,11964.274133333332
OECD,,2014,12339.225008333333,12742.05689003,12421.09649722222
OECD,,2015,11475.543330555556,13268.932164000002,12810.374025
OECD,,2016,10501.491702777776,12874.05190067,12967.083941666668
OECD,,2017,10632.443452777778,13245.13605589,13311.31923888889
OECD,,2018,10604.24318611111,14506.035488570002,14308.622688888889
OECD,,2019,10116.8775,15393.885668190002,15107.696691666666
OECD,,2020,8314.862627777777,14902.12394608,14784.510566666668
OECD,,1965,,6120.387217946,
OECD,,1966,,6484.575626341,
OECD,,1967,,6911.9702691130005,
OECD,,1968,,7203.287721236,
OECD,,1969,,7402.635987001,
OECD,,1970,,7839.485017303001,7246.037133333333
OECD,,1971,,7875.826912318001,7684.067852777778
OECD,,1972,,8050.850060815001,8015.1275611111105
OECD,,1973,,8103.623740926,8255.183352777778
OECD,,1974,,7830.503781204,8180.070616666666
OECD,,1975,,7623.916342855,7839.898266666666
OECD,,1976,,7634.671230712001,7922.920972222222
OECD,,1977,,8116.044463463001,8054.385269444445
OECD,,1978,,8717.887013998,8099.417574999999
OECD,,1979,,9226.320155028,8424.410883333334
OECD,,1980,,9618.139205811,8329.251694444443
Oman,OMN,1967,,32.830685215630005,
Oman,OMN,1968,,139.19074354580002,
