"","Country","City, state, or province","Start","Divestment type","Organisation","Organisation_type","Sources and more info","Sources 2","Sources 3","Notes","Category"
"1096","--","--",2014-01-01,"--","The SWF Immersion Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"1097","--","--",NA,"--","The Tin Dog Super","Pension Fund","--","--","--","--","Divestment"
"1098","--","--",2017-06-20,"--","The Unitarian Church of Vancouver","Faith-based Organization","--","--","--","--","Divestment"
"1099","--","--",2019-03-28,"--","The United Reformed Church Synod of Yorkshire","Faith-based Organization","--","--","--","--","Divestment"
"1100","--","--",2015-12-01,"--","The Velux Foundations","Philanthropic Foundation","--","--","--","--","Divestment"
"1101","--","--",2019-04-26,"--","The Vines United Reformed Church, Rochester","Faith-based Organization","--","--","--","--","Divestment"
"1102","--","--",2018-12-12,"--","The Wege Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"1103","--","--",2017-06-13,"--","The Welders","Other","--","--","--","--","Divestment"
"1104","--","--",2017-05-10,"--","The Wheaton Franciscan Sisters, Daughters of the Sacred Hearts of Jesus and Mary","Faith-based Organization","--","--","--","--","Divestment"
"1105","--","--",2013-05-01,"--","The Wilderness Society","NGO","--","--","--","--","Divestment"
"1106","--","--",2014-01-01,"--","The Winslow Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"1107","--","--",2014-05-01,"--","Thomas Jefferson Memorial Church, VA","Faith-based Organization","--","--","--","--","Divestment"
"1108","--","--",2014-07-01,"--","Threshold Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"1109","--","--",2018-12-12,"--","Threshold Group","For Profit Corporation","--","--","--","--","Divestment"
"1110","--","--",2016-05-01,"--","Toronto Atmospheric Fund","Philanthropic Foundation","--","--","--","--","Divestment"
"1111","--","--",2016-03-01,"--","Town (City) of Fredericia","Government","--","--","--","--","Divestment"
"1112","--","--",2015-04-11,"--","Town of Allonnes","Government","--","--","--","--","Divestment"
"1113","--","--",2015-11-12,"--","Town of Ambérieu en Bugey","Government","--","--","--","--","Divestment"
"1114","--","--",2016-03-01,"--","Town of Bassendean","Government","--","--","--","--","Divestment"
"1115","--","--",2015-11-26,"--","Town of Cherbourg","Government","--","--","--","--","Divestment"
"1116","--","--",2015-11-19,"--","Town of Colombes","Government","--","--","--","--","Divestment"
"1117","--","--",2016-06-01,"--","Town of East Fremantle","Government","--","--","--","--","Divestment"
"1118","--","--",2019-04-23,"--","Town of Fairfax","Government","--","--","--","--","Divestment"
"1119","--","--",2015-11-19,"--","Town of Pierrefitte sur Seine","Government","--","--","--","--","Divestment"
"1120","--","--",NA,"--","Town of Saint Denis","Government","--","--","--","--","Divestment"
"1121","--","--",2015-12-15,"--","Town of Saint Herblain","Government","--","--","--","--","Divestment"
"1122","--","--",2015-10-12,"--","Town of Saint Maur des Fosse","Government","--","--","--","--","Divestment"
"1123","--","--",2019-07-21,"--","Town of Truckee","Government","--","--","--","--","Divestment"
"1124","--","--",2018-04-05,"--","Trees for Uganda","NGO","--","--","--","--","Divestment"
"1125","--","--",NA,"--","Trenton Meeting","Faith-based Organization","--","--","--","--","Divestment"
"1126","--","--",2018-12-12,"--","Tri-US Entertainment","For Profit Corporation","--","--","--","--","Divestment"
"1127","--","--",NA,"--","Trinitarian Congregational United Church of Christ, Warwick, Massachusetts","Faith-based Organization","--","--","--","--","Divestment"
"1128","--","--",NA,"--","Trinity College Cambridge","Educational Institution","--","--","--","--","Divestment"
"1129","--","--",2016-11-20,"--","Trinity College Dublin, The University of Dublin","Educational Institution","--","--","--","--","Divestment"
"1130","--","--",2020-11-26,"--","Trinity Methodist Church, Chelmsford","Faith-based Organization","--","--","--","--","Divestment"
"1131","--","--",2020-12-03,"--","Trinity Methodist Church, Chelmsford","Faith-based Organization","--","--","--","--","Divestment"
"1132","--","--",2014-02-01,"--","Trinity St. Paul's United Church, Toronto","Faith-based Organization","--","--","--","--","Divestment"
"1133","--","--",2020-05-28,"--","Trinity United Church, Ringwood","Faith-based Organization","--","--","--","--","Divestment"
"1134","--","--",2020-05-28,"--","Triratna Buddhist Community Highlands","Faith-based Organization","--","--","--","--","Divestment"
"1135","--","--",2016-06-01,"--","Trocaire","Philanthropic Foundation","--","--","--","--","Divestment"
"1136","--","--",2019-07-25,"--","Trottier Family Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"1137","--","--",2018-03-09,"--","Trudili Super Fund","Pension Fund","--","--","--","--","Divestment"
"1138","--","--",2014-01-01,"--","Trust Africa","Philanthropic Foundation","--","--","--","--","Divestment"
"1139","--","--",2016-11-16,"--","Tubmanburg City Coorperation","Government","--","--","--","--","Divestment"
"1140","--","--",NA,"--","Tweeps Super Fund","Pension Fund","--","--","--","--","Divestment"
"1141","--","--",2018-03-09,"--","Two Dogs Superannuation Fund","Pension Fund","--","--","--","--","Divestment"
"1142","--","--",2018-03-09,"--","Twopeas Superannuation Fund","Pension Fund","--","--","--","--","Divestment"
"1143","--","--",2018-12-12,"--","UK Faculty of Public Health","Healthcare Institution","--","--","--","--","Divestment"
"1144","--","--",2015-10-01,"--","UK Health Alliance on Climate Change","Healthcare Institution","--","--","--","--","Divestment"
"1145","--","--",2017-03-13,"--","Umeå University","Educational Institution","--","--","--","--","Divestment"
"1146","--","--",NA,"--","Unfolding Futures Pty Ltd Superannuation Fund","Pension Fund","--","--","--","--","Divestment"
"1147","--","--",2016-11-30,"--","UNIFOR","Educational Institution","--","--","--","--","Divestment"
"1148","--","--",2014-09-01,"--","Union of Concerned Scientists","NGO","--","--","--","--","Divestment"
"1149","--","--",2017-05-18,"--","Union of Sisters of the Presentation of the Blessed Virgin Mary Generalate","Faith-based Organization","--","--","--","--","Divestment"
"1150","--","--",2014-06-01,"--","Union Theological Seminary, New York City","Faith-based Organization","--","--","--","--","Divestment"
"1151","--","--",2019-07-04,"--","UNIQA Insurance","For Profit Corporation","--","--","--","--","Divestment"
"1152","--","--",NA,"--","UNISON Cambridge Hospitals","Healthcare Institution","--","--","--","--","Divestment"
"1153","--","--",2014-04-01,"--","UniSuper","Pension Fund","--","--","--","--","Divestment"
"1154","--","--",2017-06-20,"--","Unitarian Church of Calgary","Faith-based Organization","--","--","--","--","Divestment"
"1155","--","--",NA,"--","Unitarian Church of Los Alamos, NM","Faith-based Organization","--","--","--","--","Divestment"
"1156","--","--",2017-03-29,"--","Unitarian Church of Montréal","Faith-based Organization","--","--","--","--","Divestment"
"1157","--","--",2016-06-01,"--","Unitarian Church of South Australia","Faith-based Organization","--","--","--","--","Divestment"
"1158","--","--",2017-06-20,"--","Unitarian congregation of Niagara","Faith-based Organization","--","--","--","--","Divestment"
"1159","--","--",2017-06-20,"--","Unitarian Fellowship of Northwest Toronto","Faith-based Organization","--","--","--","--","Divestment"
"1160","--","--",2017-06-20,"--","Unitarian Fellowship of Peterborough","Faith-based Organization","--","--","--","--","Divestment"
"1161","--","--",2014-05-01,"--","Unitarian Society of Northampton & Florence, MA","Faith-based Organization","--","--","--","--","Divestment"
"1162","--","--",2014-06-01,"--","Unitarian Universalist Association","Faith-based Organization","--","--","--","--","Divestment"
"1163","--","--",2013-10-01,"--","Unitarian Universalist Church of Palo Alto, CA","Faith-based Organization","--","--","--","--","Divestment"
"1164","--","--",NA,"--","Unitarian Universalist Church, First Parish, Sherborn, Massachusetts","Faith-based Organization","--","--","--","--","Divestment"
"1165","--","--",NA,"--","Unitarian Universalist Congregation of Castine, Maine","Faith-based Organization","--","--","--","--","Divestment"
"1166","--","--",2014-09-01,"--","Unitarian Universalist Congregation of South County, RI","Faith-based Organization","--","--","--","--","Divestment"
"1167","--","--",2014-05-01,"--","Unitarian Universalist Fellowship of Ames","Faith-based Organization","--","--","--","--","Divestment"
"1168","--","--",2014-06-01,"--","Unitarian Universalist Fellowship of Corvallis, OR","Faith-based Organization","--","--","--","--","Divestment"
"1169","--","--",2013-10-01,"--","Unitarian Universalist Society of Amherst, MA","Faith-based Organization","--","--","--","--","Divestment"
"1170","--","--",NA,"--","Unitarian Universalist Society of Bangor, Maine","Faith-based Organization","--","--","--","--","Divestment"
"1171","--","--",2015-08-01,"--","United Church of Canada","Faith-based Organization","--","--","--","--","Divestment"
"1172","--","--",2013-07-01,"--","United Church of Christ","Faith-based Organization","--","--","--","--","Divestment"
"1173","--","--",2013-03-01,"--","United Church of Christ, Minnesota Conference","Faith-based Organization","--","--","--","--","Divestment"
"1174","--","--",2020-05-28,"--","United Reformed Church Mersey Synod","Faith-based Organization","--","--","--","--","Divestment"
"1175","--","--",2020-05-28,"--","United Reformed Church Northern Synod","Faith-based Organization","--","--","--","--","Divestment"
"1176","--","--",2020-01-16,"--","United Reformed Church South Western Synod","Faith-based Organization","--","--","--","--","Divestment"
"1177","--","--",2015-03-01,"--","United Reformed Church Synod of Scotland","Faith-based Organization","--","--","--","--","Divestment"
"1178","--","--",2020-01-16,"--","United Reformed Church Synod of Wales","Faith-based Organization","--","--","--","--","Divestment"
"1179","--","--",2019-11-28,"--","United Reformed Church Synod of Wessex","Faith-based Organization","--","--","--","--","Divestment"
"1180","--","--",2020-04-01,"--","United Reformed Church West Midlands Synod","Faith-based Organization","--","--","--","--","Divestment"
"1181","--","--",2019-11-28,"--","United Reformed Church, UK","Faith-based Organization","--","--","--","--","Divestment"
"1182","--","--",2014-08-01,"--","Uniting Church of Australia Assembly","Faith-based Organization","--","--","--","--","Divestment"
"1183","--","--",2013-04-01,"--","Uniting Church, New South Wales & ACT, Australia","Faith-based Organization","--","--","--","--","Divestment"
"1184","--","--",2012-11-01,"--","Unity College","Educational Institution","--","--","--","--","Divestment"
"1185","--","--",2015-03-01,"--","Unity Temple Unitarian Universalist Congregation, IL","Faith-based Organization","--","--","--","--","Divestment"
"1186","--","--",2016-09-12,"--","Univeristy of Oregon Foundation","Educational Institution","--","--","--","--","Divestment"
"1187","--","--",2019-05-30,"--","Université du Quebec à Montreal","Educational Institution","--","--","--","--","Divestment"
"1188","--","--",2019-11-07,"--","Université Libre de Bruxelles (ULB)","Educational Institution","--","--","--","--","Divestment"
"1189","--","--",2017-10-23,"--","University College London","Educational Institution","--","--","--","--","Divestment"
"1190","--","--",2017-04-12,"--","University for the Creative Arts","Educational Institution","--","--","--","--","Divestment"
"1191","--","--",2016-11-22,"--","University of Abertay Dundee","Educational Institution","--","--","--","--","Divestment"
"1192","--","--",2016-11-22,"--","University of Arts Bournemouth","Educational Institution","--","--","--","--","Divestment"
"1193","--","--",2019-09-02,"--","University of Auckland Foundation","Educational Institution","--","--","--","--","Divestment"
"1194","--","--",NA,"--","University of Bath","Educational Institution","--","--","--","--","Divestment"
"1195","--","--",2015-01-01,"--","University of Bedfordshire","Educational Institution","--","--","--","--","Divestment"
"1196","--","--",2018-05-02,"--","University of Bristol","Educational Institution","--","--","--","--","Divestment"
"1197","--","--",2020-01-28,"--","University of British Columbia","Educational Institution","--","--","--","--","Divestment"
"1198","--","--",2015-09-01,"--","University of California","Educational Institution","--","--","--","--","Divestment"
"1199","--","--",2020-11-26,"--","University of Cambridge","Educational Institution","--","--","--","--","Divestment"
"1200","--","--",2017-04-11,"--","University of Chester","Educational Institution","--","--","--","--","Divestment"
"1201","--","--",2016-10-26,"--","University of Copenhagen","Educational Institution","--","--","--","--","Divestment"
"1202","--","--",2017-04-13,"--","University of Cumbria","Educational Institution","--","--","--","--","Divestment"
"1203","--","--",2014-06-01,"--","University of Dayton","Educational Institution","--","--","--","--","Divestment"
"1204","--","--",2020-11-05,"--","University of Dundee","Educational Institution","--","--","--","--","Divestment"
"1205","--","--",2017-11-10,"--","University of East Anglia","Educational Institution","--","--","--","--","Divestment"
"1206","--","--",NA,"--","University of Edinburgh","Educational Institution","--","--","--","--","Divestment"
"1207","--","--",2019-03-28,"--","University of Essex","Educational Institution","--","--","--","--","Divestment"
"1208","--","--",2019-11-07,"--","University of Ghent","Educational Institution","--","--","--","--","Divestment"
"1209","--","--",2014-10-01,"--","University of Glasgow","Educational Institution","--","--","--","--","Divestment"
"1210","--","--",2016-11-22,"--","University of Gloucestershire","Educational Institution","--","--","--","--","Divestment"
"1211","--","--",NA,"--","University of Göttingen","Educational Institution","--","--","--","--","Divestment"
"1212","--","--",2016-11-22,"--","University of Greenwich","Educational Institution","--","--","--","--","Divestment"
"1213","--","--",2020-04-24,"--","University of Guelph","Educational Institution","--","--","--","--","Divestment"
"1214","--","--",2015-05-01,"--","University of Hawaii","Educational Institution","--","--","--","--","Divestment"
"1215","--","--",2015-11-01,"--","University of Hertfordshire","Educational Institution","--","--","--","--","Divestment"
"1216","--","--",2018-08-02,"--","University of Huddersfield","Educational Institution","--","--","--","--","Divestment"
"1217","--","--",2020-10-14,"--","University of Illinois","Educational Institution","--","--","--","--","Divestment"
"1218","--","--",2019-03-28,"--","University of Keele","Educational Institution","--","--","--","--","Divestment"
"1219","--","--",2016-11-22,"--","University of Kent","Educational Institution","--","--","--","--","Divestment"
"1220","--","--",2018-10-07,"--","University of Leeds","Educational Institution","--","--","--","--","Divestment"
"1221","--","--",2017-01-17,"--","University of Liège","Educational Institution","--","--","--","--","Divestment"
"1222","--","--",2016-11-22,"--","University of Lincoln","Educational Institution","--","--","--","--","Divestment"
"1223","--","--",2019-03-28,"--","University of Liverpool","Educational Institution","--","--","--","--","Divestment"
"1224","--","--",2015-01-01,"--","University of Maine System","Educational Institution","--","--","--","--","Divestment"
"1225","--","--",2020-07-08,"--","University of Manchester","Educational Institution","--","--","--","--","Divestment"
"1226","--","--",2016-06-01,"--","University of Maryland","Educational Institution","--","--","--","--","Divestment"
"1227","--","--",2015-12-01,"--","University of Massachusetts Foundation","Educational Institution","--","--","--","--","Divestment"
"1228","--","--",2019-05-29,"--","University of Münster","Educational Institution","--","--","--","--","Divestment"
"1229","--","--",2018-04-05,"--","University of Nottingham","Educational Institution","--","--","--","--","Divestment"
"1230","--","--",2016-09-14,"--","University of Otago","Educational Institution","--","--","--","--","Divestment"
"1231","--","--",2015-07-01,"--","University of Otago Foundation Trust","Educational Institution","--","--","--","--","Divestment"
"1232","--","--",2019-04-12,"--","University of Ottawa","Educational Institution","--","--","--","--","Divestment"
"1233","--","--",2015-11-01,"--","University of Portsmouth","Educational Institution","--","--","--","--","Divestment"
"1234","--","--",2019-07-23,"--","University of Puget Sound","Educational Institution","--","--","--","--","Divestment"
"1235","--","--",2020-02-10,"--","University of Reading","Educational Institution","--","--","--","--","Divestment"
"1236","--","--",2020-07-08,"--","University of Roehampton","Educational Institution","--","--","--","--","Divestment"
"1237","--","--",2015-11-01,"--","University of Sheffield","Educational Institution","--","--","--","--","Divestment"
"1238","--","--",2016-05-01,"--","University of Southampton","Educational Institution","--","--","--","--","Divestment"
"1239","--","--",NA,"--","University of Southern California","Educational Institution","--","--","--","--","Divestment"
"1240","--","--",2017-02-16,"--","University of St. Andrews","Educational Institution","--","--","--","--","Divestment"
"1241","--","--",2019-03-28,"--","University of Stirling","Educational Institution","--","--","--","--","Divestment"
"1242","--","--",2015-10-01,"--","University of Surrey","Educational Institution","--","--","--","--","Divestment"
"1243","--","--",2018-05-02,"--","University of Sussex","Educational Institution","--","--","--","--","Divestment"
"1244","--","--",2016-04-01,"--","University of Sydney","Educational Institution","--","--","--","--","Divestment"
"1245","--","--",2020-10-19,"--","University of Tasmania","Educational Institution","--","--","--","--","Divestment"
"1246","--","--",2015-11-01,"--","University of the Arts London","Educational Institution","--","--","--","--","Divestment"
"1247","--","--",2016-11-22,"--","University of the West of Scotland","Educational Institution","--","--","--","--","Divestment"
"1248","--","--",2019-03-28,"--","University of Ulster","Educational Institution","--","--","--","--","Divestment"
"1249","--","--",2020-07-15,"--","University of Vermont","Educational Institution","--","--","--","--","Divestment"
"1250","--","--",2016-11-22,"--","University of Wales Trinity Saint David","Educational Institution","--","--","--","--","Divestment"
"1251","--","--",2015-07-01,"--","University of Warwick","Educational Institution","--","--","--","--","Divestment"
"1252","--","--",2015-05-01,"--","University of Washington","Educational Institution","--","--","--","--","Divestment"
"1253","--","--",2015-11-01,"--","University of Westminster","Educational Institution","--","--","--","--","Divestment"
"1254","--","--",2017-04-18,"--","University of Winchester","Educational Institution","--","--","--","--","Divestment"
"1255","--","--",2016-11-22,"--","University of Worcester","Educational Institution","--","--","--","--","Divestment"
"1256","--","--",2019-10-24,"--","University of York","Educational Institution","--","--","--","--","Divestment"
"1257","--","--",2015-11-04,"--","Urban community of Cherbourg","Government","--","--","--","--","Divestment"
"1258","--","--",2015-10-14,"--","Urban community of Hénin-Carvin","Government","--","--","--","--","Divestment"
"1259","--","--",2018-04-05,"--","Ursulines of the Chatman Union","Faith-based Organization","--","--","--","--","Divestment"
"1260","--","--",2018-03-09,"--","Utopia Superannuation Fund","Pension Fund","--","--","--","--","Divestment"
"1261","--","--",NA,"--","UU Church of Boulder, CO","Faith-based Organization","--","--","--","--","Divestment"
"1262","--","--",NA,"--","UU Congregation of Binghamton, NY","Faith-based Organization","--","--","--","--","Divestment"
"1263","--","--",2017-06-20,"--","UUEstrie","Faith-based Organization","--","--","--","--","Divestment"
"1264","--","--",2014-01-01,"--","V. Kann Rasmussen Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"1265","--","--",2019-03-12,"--","Varma Mutual Pension Insurance Company","Pension Fund","--","--","--","--","Divestment"
"1266","--","--",2020-12-03,"--","Vasco de Quiroga: Presencia en el Siglo XXI","Faith-based Organization","--","--","--","--","Divestment"
"1267","--","--",2017-05-18,"--","Vicariaat Vlaams-Brabant en Mechelen","Faith-based Organization","--","--","--","--","Divestment"
"1268","--","--",2014-11-01,"--","Victoria University of Wellington","Educational Institution","--","--","--","--","Divestment"
"1269","--","--",2016-10-01,"--","Village of Cooperstown Pension Fund","Pension Fund","--","--","--","--","Divestment"
"1270","--","--",NA,"--","Vincent Wildlife Trust","NGO","--","--","--","--","Divestment"
"1271","--","--",2018-12-14,"--","Vine United Reformed Church, Ilford","Faith-based Organization","--","--","--","--","Divestment"
"1272","--","--",2019-11-07,"--","Vrije Universiteit Brussel (VUB)","Educational Institution","--","--","--","--","Divestment"
"1273","--","--",2019-06-03,"--","Wadham College, Oxford","Educational Institution","--","--","--","--","Divestment"
"1274","--","--",NA,"--","Wahcumba Super Fund","Pension Fund","--","--","--","--","Divestment"
"1275","--","--",2014-01-01,"--","Wallace Global Fund","Philanthropic Foundation","--","--","--","--","Divestment"
"1276","--","--",2016-09-23,"--","Waltham Forest Pension Fund","Pension Fund","--","--","--","--","Divestment"
"1277","--","--",2015-10-01,"--","Warren Wilson College","Educational Institution","--","--","--","--","Divestment"
"1278","--","--",2014-10-01,"--","Water Dragon Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"1279","--","--",2015-04-01,"--","Waterloo Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"1280","--","--",NA,"--","Wattle Blossum Super Fund","Pension Fund","--","--","--","--","Divestment"
"1281","--","--",2020-05-28,"--","Wellspring Wirksworth","Faith-based Organization","--","--","--","--","Divestment"
"1282","--","--",2017-05-18,"--","Welzijnszorg","Faith-based Organization","--","--","--","--","Divestment"
"1283","--","--",2015-06-01,"--","Wermuth Family Office","Philanthropic Foundation","--","--","--","--","Divestment"
"1284","--","--",NA,"--","Werzalit Gruppe","Philanthropic Foundation","--","--","--","--","Divestment"
"1285","--","--",2016-12-07,"--","Western Australian Local Government Association","NGO","--","--","--","--","Divestment"
"1286","--","--",2016-02-01,"--","Western Oregon University","Educational Institution","--","--","--","--","Divestment"
"1287","--","--",2020-05-28,"--","Westminster College, Cambridge","Faith-based Organization","--","--","--","--","Divestment"
"1288","--","--",2014-06-01,"--","Westtown Monthly Meeting","Faith-based Organization","--","--","--","--","Divestment"
"1289","--","--",2017-06-20,"--","Westwood Unitarian Congregation","Faith-based Organization","--","--","--","--","Divestment"
"1290","--","--",NA,"--","Whitley Fund for Nature","Philanthropic Foundation","--","--","--","--","Divestment"
"1291","--","--",2018-12-11,"--","Whitman College","Educational Institution","--","--","--","--","Divestment"
"1292","--","--",NA,"--","Wilburforce Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"1293","--","--",NA,"--","Willows Investments","Philanthropic Foundation","--","--","--","--","Divestment"
"1294","--","--",1905-07-09,"--","Wimbledon Congregational Church","Faith-based Organization","--","--","--","--","Divestment"
"1295","--","--",2017-02-21,"--","Windsor University Faculty Association","Other","--","--","--","--","Divestment"
"1296","--","--",2015-11-01,"Full","Wolfson College","Educational Institution","--","--","--","--","Divestment"
"1297","--","--",2018-12-12,"Coal Only","Wollongong City","Government","--","--","--","--","Divestment"
"1298","--","--",NA,"Fossil Free","Wombat Super","Pension Fund","--","--","--","--","Divestment"
"1299","--","--",2015-06-01,"Fossil Free","Woodward Charitable Trust","Philanthropic Foundation","--","--","--","--","Divestment"
"1300","--","--",2018-07-09,"Full","World Apostolate of Fatima","Faith-based Organization","--","--","--","--","Divestment"
"1301","--","--",2014-07-01,"Full","World Council of Churches","Faith-based Organization","--","--","--","--","Divestment"
"1302","--","--",2016-10-24,"Full","World Medical Association","Healthcare Institution","--","--","--","--","Divestment"
"1303","--","--",2020-12-03,"Full","World Union of Catholic Women's Organisations","Faith-based Organization","--","--","--","--","Divestment"
"1304","--","--",2017-04-17,"Coal Only","Writtle University College","Educational Institution","--","--","--","--","Divestment"
"1305","--","--",2015-04-01,"Full","WWF-UK","NGO","--","--","--","--","Divestment"
"1306","--","--",2015-04-01,"Coal Only","Yale University","Educational Institution","--","--","--","--","Divestment"
"1307","--","--",2020-05-28,"Full","York Quaker Area Meeting","Faith-based Organization","--","--","--","--","Divestment"
"1308","--","--",2017-04-16,"Full","York St John University","Educational Institution","--","--","--","--","Divestment"
"1309","--","--",2020-12-03,"Full","YouFra Uganda","Faith-based Organization","--","--","--","--","Divestment"
"1310","--","--",2020-12-03,"Coal Only","Žít Laudato si' Česká republika","Faith-based Organization","--","--","--","--","Divestment"
"1311","--","--",2019-12-04,"Full","Zurich Insrance Group","For Profit Corporation","--","--","--","--","Divestment"
"1312","--","--",2017-05-18,"Full","Zusters van de Bermhertigheid","Faith-based Organization","--","--","--","--","Divestment"
"1313","--","--",2017-05-18,"Full","Zusters van Maria","Faith-based Organization","--","--","--","--","Divestment"
